tư_vấn thuốc huyết_áp	chào bác sỹ cho tôi hỏi thuốc huyết_áp savi dopril có làm tăng nhịp tim khi uống không ả 
thuốc chữa dị_ứng	chào bác_sĩ tên tôi là lương ngọc quỳnh tuổi con_trai tôi sinh năm thời_gian gần_đây cháu hay bị dị_ứng nổi mề_đay và thường vào buổi tối tôi cũng chỉ mua thuốc ở cửa_hàng thuốc_tây về cho cháu uống cho đỡ ngứa vậy mong bác_sĩ tư_vấn giúp ạ tôi xin chân_thành cám_ơn 
đau vùng bìu	cháu tuổi tháng trở_lại đây cháu bị đau vùng bìu có bị đi tiểu ra máu cháu khám bạch_mai thì thận bàng_quang không có vấn_đề gì hiện_tại cháu không còn tiểu ra máu nữa vài bữa trước cháu tiểu ra cục sỏi cháu vẫn bị đau tức mà không biết nên khám gì o đâu nhờ bác_sĩ tư_vấn giúp cháu cảm_ơn bác_sĩ 
kích_thước dương_vật	ảnh là khi chưa cương ảnh là cương r xin hỏi bác_sĩ như vậy đối với nam_giới tuổi kích_thước có nhỏ k ạ 
đau tinh_hoàn	gần_đây tinh_hoàn bên trái của tôi khi đụng vào nó hơi đau khi rờ mạnh vào thấy bên đó teo hơn ạ 
xin các bs đọc giúp tôi kết_quả xét_nghiệm	bác_sĩ có thể tư_vấn giúp tôi để cải_thiện sk sinh_sản để vk ck tôi có thể có thai tự_nhiên mã_số của tôi là 
bac_si tu_van cải thien sk sinh_sản	voi nhung kq xet nghiệm tai benh_vien medlatic xin cam_on bs 
hỏi xét_nghiệm	cho mình hỏi xét_nghiệm của mình như này có bình_thường ko 
bệnh nam khoa dương_vật	xin cho hỏi hiện_tại tôi đang bị bệnh viêm và trớt bìu và đầu dương_vật thì lên đến cơ_sở y_tế nào để khám ạ cảm_ơn trước 
tinh_trùng yếu	kết_quả xét_nghiệm này có phải tinh_trùng của chồng em là yếu đúng k ạ hay bị sao ạ 
tinh_dịch đồ	bác_sĩ cho em hỏi e vừa xét_nghiệm tinh_dịch đồ ơ medlatec kết_quả như hinh ảnh bên dưới bac sĩ cho em hỏi em co bị sao ko co thê thụ_thai tự_nhiên ko tỷ_lệ thụ_thai la bao nhiêu ạ em cam ơn 
tư_vấn dị_ứng	tôi mới sinh bé thứ được tháng kể từ lúc sinh bé lần này tôi hay bị dị_ứng mẩn ngứa gần như tuần nào cũng bị mà trước khi sinh tôi ko bị dị_ứng bao giờ tôi muốn nhờ bác_sĩ tư_vấn giúp cách chữa_trị 
xuất_tinh sớm	em thử dâm từ nhỏ nam nay t và thủ_dâm năm t trước em thủ tuần lần bjo lúc thủ em ra rất nhah 
băn_khoăn về patch test	chào bác_sĩ mình muốn xin tư_vấn về xét_nghiệm dị_nguyên cách đây tuần mình đi khám mắt ở phòng_khám của bác_sĩ bích_ngọc vì viêm kết_mạc trước đó mình đã được chuẩn đoán là viêm kết_mạc dị_ứng bệnh của mình thường tái_phát vào mùa_hè tháng trong năm trở_lại đây có năm bị tái tái_phát đến lần mùa_hè sau khi dùng hết đơn_thuốc của bác_sĩ ngọc có loại thuốc chống dị_ứng mình được tư_vấn tới medlatec để làm patch test tìm dị_nguyên trước khi đi khám lại theo mình biết nhiều người cũng bị viêm kết_mạc dị_ứng điển_hình theo mùa mùa_xuân hoặc hè ngoài ra mình còn hay bị dị_ứng với nhiều loại thuốc trước cũng từng dị_ứng với loại thuốc tra mắt theo đơn bác_sĩ nên bác_sĩ có khuyên mình nên đi làm patch test mình muốn hỏi về chi_phí làm xét_nghiệm này và có cần kiêng gì trước sau khi làm xét_nghiệm không mình cám_ơn 
rối_loạn tiêu_hóa	chào bs mẹ tôi bị ngứa rất nhiều và không ăn được gần như hầu hết các loại thực_phẩm chất_đạm cũng đã làm số xét_nghiệm máu nhưng bs có thể tư_vấn kỹ hơn về bệnh_tình của mẹ tôi cách đây khoảng năm ko biết là do ăn phải thực_phẩm ntn mẹ tôi bị đi ngoài liên_tục có đi khám về tiêu_hóa thì nói bị kiết_lỵ đã điều_trị cả thuốc_tây ở bv nội_tiết ở bạch_mai và thuốc_nam nhưng chỉ đỡ và phải hạn chết ăn cũng nhiều thực_phẩm mong bs tư_vấn cho trường_hợp của mẹ tôi nhờ bs tư_vấn cho mẹ tôi có mã xét_nghiệm 
hỏi về nam khoa	xin bs cho biết kết_quả của cháu tuổi có chỉ_số testoteron là có bình_thường ko ạ xin cảm_ơn bs 
uống thuốc chống xuất_tinh sớm	xin chào em tuổi em sử_dụng thuốc paroxetin mg uống chống xuất_tinh sớm hiện_nay em ngưng thuốc sau gần tháng sử_dụng vừa ngưng khoảng ngày thì em chóng_mặt buồn_nôn tuy sức_khỏe em vẫn bình_thường em vẫn ăn uống tốt nhưng em chóng_mặt thường_xuyên mắc ói và mỗi lúc tập gym vận_động nặng nặng em bị đổ nhiều mồ_hôi hơn bình_thường và cơ hơi run nhiều hơn lúc còn uống thuốc do bác_sĩ điều_trị đã dặn sau đợt này không cần đi tái_khám hay uống thuốc nữa đợi đến khi bệnh tái_lại rồi mới đi khám lại sau nên em uống xong đợt thuốc này em ngưng nó bị như vậy em xin ý kiếm của bác_sĩ ạ em xin cảm_ơn 
chỉ_số ferritin cao	kết_quả xét_nghiệm của tôi có chỉ_số ferritin kết_quả điện di bình_thường nhờ bác sỹ tư_vấn 
tư_vấn kết_quả xét_nghiệm	nhờ bác_sĩ tư_vấn giúp tôi kết_quả mã tra_cứu ngày 
sắt huyết_thanh	con tôi xét_nghiệm sắt huyết_thanh tăng cao có sao k ạ 
tv	em thai tuần k có tim thai làm các xét_nghiệm xem nguyên_nhân do đâu mong các bsi tư_vấn hộ r với ạ 
tư_vấn kết_quả xét_nghiệm tinh_dịch đồ	tư_vấn kết_quả tỉnh dịch đồ 
ngứa không rõ nguyên_nhân	e chào bác_sĩ thời_gian gần_đây e bị ngứa k rõ nguyên_nhân e đã làm các xét_nghiệm cần_thiết để chuẩn đoán nguyên_nhân thì mọi thứ đều bình_thường chỉ có bị thiếu máu nhưng e đang thắc_mắc tại_sao e lại bị ngứa k rõ nguyên_nhân lâu như vậy ạ mọi sinh_hoạt của e không có gì thay_đổi so với trước đây ạ giờ e có pải làm thêm các xét_nghiệm gì để chuẩn đoán rõ bệnh hơn ạ như này e thấy hơi lo_lắng 
tư_vấn về tinh_dịch đồ	chào bác_sĩ cháu năm nay tuổi vừa rồi cháu có làm xét_nghiệm tinh_dịch đồ tại bệnh_viện kết_quả được đưa ra như sau thể_tích tinh_dịch ml độ_nhớt tăng tế_bào khác thời_gian ly giải ph tỷ_lệ sống mật_độ tinh_trùng m ml khả_năng di_động pr np tinh_trùng di_động tiến tới tinh_trùng di_động không tiến tới tinh_trùng bất động tổng_số tinh_trùng m hình_thái tinh_trùng bình_thường với chỉ_số như trên vợ chồng cháu có thể thụ_thai tự_nhiên được không ạ vợ cháu đã có thai lần nhưng đều bị chuẩn đoán sảy thai sớm như vậy có phải do chất_lượng tinh_trùng kém không thưa bác_sĩ 
hỏi về sưng cực quanh hậu_môn	thưa bác sỹ chồng em năm nay tuổi sức_khoẻ tốt người lành mang virus viêm_gan b mới tuần nay có hiện_tượng sưng quanh hậu_môn sưng nổi cục to và đỏ mọng em có tham_khảo một số bệnh vùng hậu_môn thì hình_ảnh giống với trĩ_ngoại cho em trước có bị táo_bón hiện_tại đại_tiện ngày lần đi đại_tiện bt chồng em đang công_tác nước_ngoài k tiện thăm khám cơ_sở y_tế chồng em có gửi hình_ảnh vùng sưng nề tuy nhiên em k biết cách attach gửi kèm câu_hỏi rất mong nhận được sự hỗ_trợ của các bác sỹ trân_trọng cảm_ơn 
cắt bao quy_đầu	cho e hỏi bác sỹ e muốn cắt bao quy_đầu bên viện mình thời_gian và chi_phí hết bao lâu ạ có thẻ bhyt có đc bảo_hiểm thanh_toán không em cảm_ơn 
điều_trị nhiễm nấm cadida	xin chào bác sỹ gần_đây dương_vật của tôi có hiện_tượng chảy dịch màu_trắng giống mủ đau tức nhẹ vùng bụng dưới tôi có đi xét_nghiệm ở trung_tâm y_tế quận hoàn_kiếm các loại bệnh lậu chlamyda nấm sau khi có kết_quả bác sỹ kết_luận tôi bị nhiễm nấm cadida xin hỏi bác sỹ bệnh này chữa lâu khỏi không va phác_đồ điều_trị thế nào bởi vì phác_đồ điều_trị ở nơi tôi thăm khám đưa ra rất tốn_kém vì thế tôi muốn được tư_vấn từ medlatec xin trân_trọng cảm_ơn 
nam học	chào bác_sĩ gần_đây em bị nhức bên tinh_hoàn bên trái hay bị tức xiên sang vùng lưng gây cảm_giác mỏi thỉnh_thoảng thấy mỏi cả nửa người bên trái bác_sĩ cho e lời_khuyên nên đi khám hay xét_nghiệm j ko ạ bác_sĩ có thể chuẩn đoán giúp e đang bị bệnh j ko ạ e cảm_ơn bác_sĩ 
rụng tóc do thủ_dâm nhiều	em chào bác_sĩ ạ em năm nay tuổi đang là sinh_viên em có thủ_dâm nhiều lần tuần khoảng năm nay mấy năm gần_đây e có biểu_hiện rụng tóc rất nhiều giờ giống như rụng gần hết tóc kèm theo hay tức ngực vs nhịp tim nhanh đánh trống_ngực người hay mệt_mỏi cáu_gắt ko tập_trung học_hành em có đi điều_trị rụng tóc ở da_liễu nhưng ko được vs có đi khám tim_mạch ko phát_hiện bất_thường em xin hỏi có phải e bị suy dinh dục hay giống như mãn dục nam hay giảm testosteron ạ 
chỉ_số lh cao chỉ_số testosterone thấp	tôi năm nay t đi xét_nghiệm thì các chỉ_số như sau lh fsh prl testoterone e estradol kết_quả siêu_âm tinh_hoàn đều bình_thường hiện_tại tôi bị liệt_dương xin hỏi bác sỹ tình_trạng của tôi với các chỉ_số trên có biết được nguyên_nhân do dâu dẫn đến ld không ạ xin cảm_ơn 
kết_quả xét_nghiệm	xin chào bác sỹ cách đây tuần tôi có hiện_tượng tiểu rát tôi có đi khám và được bác sỹ chỉ_định đi xét_nghiệm vi_khuẩn lậu gồm xét_nghiệm nước tiểu và nuôi cấy mẫu dịch niệu_đạo sau đó bác sỹ có tiêm cho tôi mũi vacxin spectinomycin g và có kê đơn_thuốc kháng_sinh về nhà uống sau đó hôm tôi tới lấy kết_quả xét_nghiệm thì kết_quả nước tiểu mọi chỉ_số đều âm_tính trừ chỉ_số leu và kết_quả nuôi cấy là không thấy vi_khuẩn sau h nuôi cấy cũng như nhuộm soi không thấy vi_khuẩn sau khi xem kết_quả bác sỹ nói tôi cứ về nhà uống hết thuốc là khỏi xin hỏi bác sỹ kết_quả như trên là tôi có bị nhiễm lậu hay không xin cảm_ơn bác sỹ đã bỏ thời_gian đọc câu_hỏi của tôi 
đánh_giá kết_quả xét_nghiệm tinh_dịch đồ	bác_sĩ cho em hỏi kết_quả xét_nghiệm tinh_dịch đồ của chồng em như thế này có vấn_đề gì không chồng em xét_nghiệm tại medlatec khảo_sát đại_thể thể_tích tinh_dịch ml thời_gian kiêng giao_hợp days độ ph kiềm xem chi_tiết màu_sắc trắng sữa trắng sữa hồng_cầu m ml thời_gian ly giải min độ_nhớt bình_thường bình_thường tế_bào khác m ml tỷ_lệ sống khảo_sát vi_thể mật_độ tinh_trùng m ml khả_năng di_động pr np tinh_trùng di_động tiến tới pr tinh_trùng di_động không tiến tới tinh_trùng bất động im tốc_độ di_chuyển trung_bình micr sec tổng_số tinh_trùng m hình_thái tinh_trùng hình_thái bình_thường giảm xem chi_tiết hình_thái bất_thường bất_thường đầu bất_thường cổ bất_thường đuôi 
thủ_dâm	thưa bác_sĩ em đang dần cai được thói thủ_dâm của mình trước đây em đã thủ_dâm khoảng năm gần như ngày nào cũng làm cho em hỏi là bây_giờ khi em cai được thủ_dâm rồi thif sức_khỏe có tốt lên không triệu_chứng của xuất_tinh sớm có thuyên_giảm không ạ em xin cảm_ơn 
bao qui_đầu	bác_sĩ cho cháu hỏi bình_thường dương_vật cháu bao qui_đầu nó hơi chùm và nhăn có thể tóm vào nếp_nhăn và kéo ra nhưng khi cương_cứng thì nó tự tụt được vậy có phải cháu bị dài bao qui_đầu và có phải cắt không ạ nếu cắt có đau không ạ viện mình có cắt được không ạ cháu cảm_ơn 
nhờ bác_sĩ	em bị vết xước cách đầu dương_vật cm bị mủ chút em nặn ra đến hôm_nay vẫn xưng và hơi đau bác_sĩ cho em hỏi xử_lý thế nào ah xin cảm_ơn 
tư_vấn kết_quả xét_nghiệm tinh_dịch đồ	em có xét_nghiệm tinh_dịch đồ ở bệnh_viện nhà mình mã tra_cứu là kết_quả là thể_tích tinh_dịch m l thời_gian kiêng ngày độ ph mật_độ tinh_trùng m ml khả_năng di_động pr np tỷ_lệ sống di_động tiến tới pr di_động không tiến tới bất động di_chuyển trung_bình mirc tổng_số tinh_trùng m hình_thái bình_thường bất_thường đầu bất_thường cổ bác sỹ cho em hỏi như vậy là bình_thường hay không ạ có ảnh_hưởng đến khả_năng sinh_sản không ạ em cảm_ơn 
tư_vấn kết_quả xét_nghiệm tinh_dịch đồ	xin chào bác sỹ chồng em năm nay tuổi mới làm kết_quả xét_nghiệm tinh_dịch đồ ở cơ_sở trích sài kết_quả như sau thể_tích tinh_dịch ml độ ph tỷ_lệ sống mật_độ tinh_trùng m ml khả_năng di_động pr np giảm tinh_trùng di_động tiến tới pr giảm tổng_số tinh_trùng m hình_thái bình_thường giảm theo như kết_quả trên thì có chỉ_số giảm vậy bác sỹ cho em hỏi kết_quả như trên thì có ảnh_hưởng như thế nào tới khả_năng thụ_thai phương_pháp điều_trị như thế nào và trong thời_gian bao lâu nhờ bác sỹ tư_vấn giúp em ạ em cảm_ơn bác sỹ 
tư_vấn kết_quả xét_nghiệm tinh_dịch đồ	bác_sĩ giúp e hiểu rõ kết_quả xét_nghiệm này của chồng em được không ạ thể_tích tinh_dịch ml độ ph màu_sắc trắng sữa hồng_cầu m ml thời_gian ly giải min độ_nhớt bình_thường tế_bào khác m ml tỷ_lệ sống mật_độ tinh_trùng m ml khả_năng di_động tinh_trùng di_động tiến tới tinh_trùng di_động k tiến tới tinh_trùng bất động tốc_độ di_chuyển trung_bình micr sec tổng_số tinh_trùng m hình_thái bình_thường bất_thường đầu bất_thường cổ bất_thường đuôi bác_sĩ giúp e với ạ e cảm_ơn 
chỉ_số testosterone thấp	thưa bác_sĩ cháu vừa đi làm xét_nghiệm về các chỉ_số fsh miu ml lh miu ml testosterone nmol l các chỉ_số gan thận bthuong bác_sĩ có kết_luận cháu có lượng testosterone thấp không biết như vậy có đúng k cháu mới thử qhtd vài lầ nhưng k thành_công do dương_vật k cương_cứng đủ và bị xts bệnh_viện mình có phác_đồ điều_trị gì đv tình_trạng bệnh của cháu cám_ơn bác_sĩ và chờ hồi_âm 
xuất_tinh sớm	thưa bác_sĩ bệnh xuất_tinh sớm có chữa được không và mất khoảng bao nhiêu thời_gian để khỏi 
tư_vấn và kết_luận kết_quả xét_nghiệm tinh_dịch đồ	xin chào bác_sĩ cháu tên_hiệu năm nay tuổi vừa rồi cháu có đến bệnh_viện phụ_sản trung_ương để làm xét_nghiệm tinh_dịch đồ và kết_quả như sau màu_sắc trắng xám thể_tích ly giải phút ph mật_độ x ml tổng_số tinh_trùng x tỷ_lệ tinh_trùng sống di_động tiến tiến pr di_động không tiến tới np bất động im hình_thái bình_thường hình_thái bất_thường là đầu cổ đuôi vậy kính mong bác_sĩ xem_xét kĩ về kết_quả xét_nghiệm và có thể giúp cháu kết_luận về tình_trạng và khả_năng sinh con của cháu một cách tỉ_mỉ nhất cháu xin cảm_ơn bác_sĩ nhiều 
